X,Y,OBJECTID,RTE,RTE_SFX,DIST,CNTY,PM_PFX,POSTMILE,PM_SFX,LEG,DESCRIPTION,VEHICLE_AADT_TOTAL,TOT_TRK_AADT,TRK_PERCENT_TOT,TRK_2_AXLE,TRK_2_AXLE_PCT,TRK_3_AXLE,TRK_3_AXLE_PCT,TRK_4_AXLE,TRK_4_AXLE_PCT,TRK_5_AXLE,TRK_5_AXLE_PCT,EAL,EST_VER_YEAR,EST_VER_CODE
-117.66993354,33.467099804,1,1,,12,ORA,R,0.129,,A,"DANA POINT, JCT. RTE. 5",38250,2379,6.22,807,33.93,1126,47.32,319,13.39,128,5.36,223,18,E
-117.66982092,33.4670126410001,2,1,,12,ORA,R,0.129,,A,"DANA POINT, JCT. RTE. 5",38250,2379,6.22,807,33.93,1126,47.32,319,13.39,128,5.36,223,18,E
-117.678879958,33.46417753,3,1,,12,ORA,R,0.78,,A,"DANA POINT, DOHENY PARK ROAD",38900,1894,4.87,643,33.93,896,47.32,254,13.39,102,5.36,177,3,E
-117.67892096,33.4640825750001,4,1,,12,ORA,R,0.78,,A,"DANA POINT, DOHENY PARK ROAD",38900,1894,4.87,643,33.93,896,47.32,254,13.39,102,5.36,177,3,E
-117.785330589,33.542743181,5,1,,12,ORA,,9.418,,B,"LAGUNA BEACH, JCT. RTE. 133 NORTH",38800,675,1.74,264,39.08,310,45.98,62,9.2,39,5.75,60,19,E
-117.785330589,33.542743181,6,1,,12,ORA,,9.418,,B,"LAGUNA BEACH, JCT. RTE. 133 NORTH",38800,675,1.74,264,39.08,310,45.98,62,9.2,39,5.75,60,19,E
-117.785330589,33.542743181,7,1,,12,ORA,,9.418,,A,"LAGUNA BEACH, JCT. RTE. 133 NORTH",38800,675,1.74,264,39.08,310,45.98,62,9.2,39,5.75,60,19,E
-117.785330589,33.542743181,8,1,,12,ORA,,9.418,,A,"LAGUNA BEACH, JCT. RTE. 133 NORTH",38800,675,1.74,264,39.08,310,45.98,62,9.2,39,5.75,60,19,E
-117.929061487,33.6212792060001,9,1,,12,ORA,,19.797,,B,"NEWPORT BEACH, JCT. RTE. 55, NEWPORT BOULEVARD",49600,565,1.14,435,76.92,78,13.85,26,4.62,26,4.62,35,19,E
-117.929067289,33.6211765790001,10,1,,12,ORA,,19.797,,B,"NEWPORT BEACH, JCT. RTE. 55, NEWPORT BOULEVARD",49600,565,1.14,435,76.92,78,13.85,26,4.62,26,4.62,35,19,E
-117.929061487,33.6212792060001,11,1,,12,ORA,,19.797,,A,"NEWPORT BEACH, JCT. RTE. 55, NEWPORT BOULEVARD",49600,397,0.8,273,68.75,62,15.63,12,3.13,50,12.5,34,19,E
-117.929067289,33.6211765790001,12,1,,12,ORA,,19.797,,A,"NEWPORT BEACH, JCT. RTE. 55, NEWPORT BOULEVARD",49600,397,0.8,273,68.75,62,15.63,12,3.13,50,12.5,34,19,E
-117.956426615,33.6305980550001,13,1,,12,ORA,,21.549,,B,SANTA ANA RIVER BRIDGE,38800,272,0.7,187,68.75,43,15.63,9,3.13,34,12.5,24,19,E
-117.956493263,33.6304819750001,14,1,,12,ORA,,21.549,,B,SANTA ANA RIVER BRIDGE,38800,272,0.7,187,68.75,43,15.63,9,3.13,34,12.5,24,19,E
-117.988245908,33.6486731150001,15,1,,12,ORA,,23.739,,B,"HUNTINGTON BEACH, JCT. RTE. 39 NORTH, BEACH BOULEVARD",38300,306,0.8,210,68.75,48,15.63,10,3.13,38,12.5,26,19,E
-117.988259792,33.6484682290001,16,1,,12,ORA,,23.739,,B,"HUNTINGTON BEACH, JCT. RTE. 39 NORTH, BEACH BOULEVARD",38300,306,0.8,210,68.75,48,15.63,10,3.13,38,12.5,26,19,E
-118.10592542,33.7510148170001,17,1,,7,LA,,0,,A,LOS ANGELES/ORANGE COUNTY LINE,40500,543,1.34,468,86.27,36,6.67,11,2.01,27,5.05,31,7,V
-118.106046067,33.7509474330001,18,1,,7,LA,,0,,A,LOS ANGELES/ORANGE COUNTY LINE,40500,543,1.34,468,86.27,36,6.67,11,2.01,27,5.05,31,7,V
-118.122648035,33.7753516180001,19,1,,7,LA,,1.973,,B,"LONG BEACH, JCT. RTE. 22, SEVENTH STREET",24200,649,2.68,459,70.75,104,15.98,27,4.09,60,9.18,50,5,V
-118.122915163,33.7753512520001,20,1,,7,LA,,1.973,,B,"LONG BEACH, JCT. RTE. 22, SEVENTH STREET",24200,649,2.68,459,70.75,104,15.98,27,4.09,60,9.18,50,5,V
-118.122648035,33.7753516180001,21,1,,7,LA,,1.973,,A,"LONG BEACH, JCT. RTE. 22, SEVENTH STREET",31500,986,3.13,589,59.69,114,11.54,38,3.82,246,24.95,122,5,V
-118.122915163,33.7753512520001,22,1,,7,LA,,1.973,,A,"LONG BEACH, JCT. RTE. 22, SEVENTH STREET",31500,986,3.13,589,59.69,114,11.54,38,3.82,246,24.95,122,5,V
-118.207326897,33.7900157560001,23,1,,7,LA,,7.288,,B,"LONG BEACH, JCT. RTE. 710, LONG BEACH FREEWAY",37500,2258,6.02,1351,59.81,423,18.75,51,2.27,433,19.17,243,5,V
-118.207315913,33.789928402,24,1,,7,LA,,7.288,,B,"LONG BEACH, JCT. RTE. 710, LONG BEACH FREEWAY",37500,2258,6.02,1351,59.81,423,18.75,51,2.27,433,19.17,243,5,V
-118.207326897,33.7900157560001,25,1,,7,LA,,7.288,,A,"LONG BEACH, JCT. RTE. 710, LONG BEACH FREEWAY",36000,6847,19.02,1536,22.44,1317,19.23,147,2.14,3847,56.19,"1,524",4,V
-118.207315913,33.789928402,26,1,,7,LA,,7.288,,A,"LONG BEACH, JCT. RTE. 710, LONG BEACH FREEWAY",36000,6847,19.02,1536,22.44,1317,19.23,147,2.14,3847,56.19,"1,524",4,V
-118.224629746,33.7898995950001,27,1,,7,LA,,8.266,,B,"LONG BEACH, JCT. RTE. 103, TERMINAL ISLAND FREEWAY",31500,6908,21.93,1178,17.05,1666,24.11,229,3.31,3836,55.53,"1,552",7,V
-118.224637582,33.7898270380001,28,1,,7,LA,,8.266,,B,"LONG BEACH, JCT. RTE. 103, TERMINAL ISLAND FREEWAY",31500,6908,21.93,1178,17.05,1666,24.11,229,3.31,3836,55.53,"1,552",7,V
-118.224629746,33.7898995950001,29,1,,7,LA,,8.266,,A,"LONG BEACH, JCT. RTE. 103, TERMINAL ISLAND FREEWAY",30000,7401,24.67,1158,15.64,2462,33.27,255,3.44,3527,47.65,"1,521",5,V
-118.224637582,33.7898270380001,30,1,,7,LA,,8.266,,A,"LONG BEACH, JCT. RTE. 103, TERMINAL ISLAND FREEWAY",30000,7401,24.67,1158,15.64,2462,33.27,255,3.44,3527,47.65,"1,521",5,V
-118.28201381,33.790631252,31,1,,7,LA,,11.61,,B,"LOS ANGELES, JCT. RTE. 110, HARBOR FREEWAY",38500,1890,4.91,1013,53.58,326,17.24,65,3.42,487,25.76,243,5,V
-118.281947847,33.790480937,32,1,,7,LA,,11.61,,B,"LOS ANGELES, JCT. RTE. 110, HARBOR FREEWAY",38500,1890,4.91,1013,53.58,326,17.24,65,3.42,487,25.76,243,5,V
-118.28201381,33.790631252,33,1,,7,LA,,11.61,,A,"LOS ANGELES, JCT. RTE. 110, HARBOR FREEWAY",53000,2862,5.4,1719,60.08,531,18.57,101,3.53,510,17.82,300,5,V
-118.281947847,33.790480937,34,1,,7,LA,,11.61,,A,"LOS ANGELES, JCT. RTE. 110, HARBOR FREEWAY",53000,2862,5.4,1719,60.08,531,18.57,101,3.53,510,17.82,300,5,V
-118.307577549,33.7895356930001,35,1,,7,LA,,13.1,,A,"LOS ANGELES, JCT. RTE. 213, WESTERN AVENUE",57000,2702,4.74,1707,63.19,386,14.29,79,2.93,529,19.59,289,5,V
-118.307577104,33.789415277,36,1,,7,LA,,13.1,,A,"LOS ANGELES, JCT. RTE. 213, WESTERN AVENUE",57000,2702,4.74,1707,63.19,386,14.29,79,2.93,529,19.59,289,5,V
-118.35110818,33.8051032550001,37,1,,7,LA,,16.005,,B,"TORRANCE, JCT. RTE. 107, HAWTHORNE BOULEVARD",36000,1318,3.66,970,73.63,211,16.03,66,4.98,71,5.36,88,5,V
-118.351109583,33.804970186,38,1,,7,LA,,16.005,,B,"TORRANCE, JCT. RTE. 107, HAWTHORNE BOULEVARD",36000,1318,3.66,970,73.63,211,16.03,66,4.98,71,5.36,88,5,V
-118.35110818,33.8051032550001,39,1,,7,LA,,16.005,,A,"TORRANCE, JCT. RTE. 107, HAWTHORNE BOULEVARD",39500,1315,3.33,1002,76.2,176,13.39,84,6.41,53,4,82,5,V
-118.351109583,33.804970186,40,1,,7,LA,,16.005,,A,"TORRANCE, JCT. RTE. 107, HAWTHORNE BOULEVARD",39500,1315,3.33,1002,76.2,176,13.39,84,6.41,53,4,82,5,V
-118.395483937,33.8728381220001,41,1,,7,LA,,21.919,,B,"MANHATTAN BEACH, ARTESIA BOULEVARD",44000,1465,3.33,1116,76.2,196,13.39,94,6.41,59,4,91,5,E
-118.39566086,33.872841459,42,1,,7,LA,,21.919,,B,"MANHATTAN BEACH, ARTESIA BOULEVARD",44000,1465,3.33,1116,76.2,196,13.39,94,6.41,59,4,91,5,E
-118.395483937,33.8728381220001,43,1,,7,LA,,21.919,,A,"MANHATTAN BEACH, ARTESIA BOULEVARD",42500,1415,3.33,1078,76.2,189,13.39,91,6.41,57,4,88,5,E
-118.39566086,33.872841459,44,1,,7,LA,,21.919,,A,"MANHATTAN BEACH, ARTESIA BOULEVARD",42500,1415,3.33,1078,76.2,189,13.39,91,6.41,57,4,88,5,E
-118.396026827,33.9311066670001,45,1,,7,LA,,25.924,,B,"LOS ANGELES, JCT. RTE. 105, GLENN ANDERSON FREEWAY",58000,1786,3.08,1223,68.5,166,9.32,74,4.13,322,18.05,180,5,V
-118.396238599,33.9310901700001,46,1,,7,LA,,25.924,,B,"LOS ANGELES, JCT. RTE. 105, GLENN ANDERSON FREEWAY",58000,1786,3.08,1223,68.5,166,9.32,74,4.13,322,18.05,180,5,V
-118.396273217,33.951791988,47,1,,7,LA,,27.363,,A,"LOS ANGELES, LOS ANGELES INTERNATIONAL AIRPORT, VIA LINCOLN BOULEVARD",34500,745,2.16,626,84.09,52,7.03,22,2.99,44,5.89,45,5,E
-118.396473651,33.951719242,48,1,,7,LA,,27.363,,A,"LOS ANGELES, LOS ANGELES INTERNATIONAL AIRPORT, VIA LINCOLN BOULEVARD",34500,745,2.16,626,84.09,52,7.03,22,2.99,44,5.89,45,5,E
-118.419212879,33.9597984920001,49,1,,7,LA,,29.084,,A,"LOS ANGELES, MANCHESTER AVENUE",53000,1145,2.16,963,84.09,80,7.03,34,2.99,67,5.89,69,5,E
-118.419387659,33.9597790660001,50,1,,7,LA,,29.084,,A,"LOS ANGELES, MANCHESTER AVENUE",53000,1145,2.16,963,84.09,80,7.03,34,2.99,67,5.89,69,5,E
-118.44267853,33.9847298620001,51,1,,7,LA,,31.29,,B,"LOS ANGELES, JCT. RTE. 90, MARINA FREEWAY",48500,1048,2.16,881,84.09,74,7.03,31,2.99,62,5.89,64,5,V
-118.442863554,33.984697909,52,1,,7,LA,,31.29,,B,"LOS ANGELES, JCT. RTE. 90, MARINA FREEWAY",48500,1048,2.16,881,84.09,74,7.03,31,2.99,62,5.89,64,5,V
-118.44267853,33.9847298620001,53,1,,7,LA,,31.29,,A,"LOS ANGELES, JCT. RTE. 90, MARINA FREEWAY",61000,1531,2.51,1241,81.05,97,6.33,49,3.18,145,9.44,110,5,V
-118.442863554,33.984697909,54,1,,7,LA,,31.29,,A,"LOS ANGELES, JCT. RTE. 90, MARINA FREEWAY",61000,1531,2.51,1241,81.05,97,6.33,49,3.18,145,9.44,110,5,V
-118.485892682,34.01482106,55,1,,7,LA,R,34.576,,B,"SANTA MONICA, JCT. RTE. 10, SANTA MONICA FREEWAY",40000,1224,3.06,928,75.81,141,11.52,36,2.96,119,9.71,92,5,V
-118.485892682,34.01482106,56,1,,7,LA,R,34.576,,B,"SANTA MONICA, JCT. RTE. 10, SANTA MONICA FREEWAY",40000,1224,3.06,928,75.81,141,11.52,36,2.96,119,9.71,92,5,V
-118.494606934,34.011439302,57,1,,7,LA,,35.17,,O,"SANTA MONICA, MCCLURE TUNNEL",62000,3367,5.43,2402,71.35,401,11.92,57,1.69,506,15.04,304,5,V
-118.494589998,34.011376345,58,1,,7,LA,,35.17,,O,"SANTA MONICA, MCCLURE TUNNEL",62000,3367,5.43,2402,71.35,401,11.92,57,1.69,506,15.04,304,5,V
-118.579309566,34.0401495990001,59,1,,7,LA,,40.769,,B,"JCT. RTE. 27, TOPANGA CANYON BOULEVARD",49500,1332,2.69,1049,78.76,158,11.89,31,2.3,94,7.05,88,5,V
-118.579306072,34.040068676,60,1,,7,LA,,40.769,,B,"JCT. RTE. 27, TOPANGA CANYON BOULEVARD",49500,1332,2.69,1049,78.76,158,11.89,31,2.3,94,7.05,88,5,V
-118.579309566,34.0401495990001,61,1,,7,LA,,40.769,,A,"JCT. RTE. 27, TOPANGA CANYON BOULEVARD",46000,1398,3.04,1153,82.48,149,10.64,22,1.58,74,5.3,83,5,V
-118.579306072,34.040068676,62,1,,7,LA,,40.769,,A,"JCT. RTE. 27, TOPANGA CANYON BOULEVARD",46000,1398,3.04,1153,82.48,149,10.64,22,1.58,74,5.3,83,5,V
-118.894415045,34.041527009,63,1,,7,LA,,59.901,,B,"MALIBU, JCT. RTE. 23, DECKER CANYON ROAD",11400,619,5.43,491,79.35,58,9.38,7,1.2,62,10.07,45,5,V
-118.894433524,34.04142491,64,1,,7,LA,,59.901,,B,"MALIBU, JCT. RTE. 23, DECKER CANYON ROAD",11400,619,5.43,491,79.35,58,9.38,7,1.2,62,10.07,45,5,V
-118.894415045,34.041527009,65,1,,7,LA,,59.901,,A,"MALIBU, JCT. RTE. 23, DECKER CANYON ROAD",10900,592,5.43,470,79.35,56,9.38,7,1.2,60,10.07,43,5,E
-118.894433524,34.04142491,66,1,,7,LA,,59.901,,A,"MALIBU, JCT. RTE. 23, DECKER CANYON ROAD",10900,592,5.43,470,79.35,56,9.38,7,1.2,60,10.07,43,5,E
-119.081755925,34.1124691040001,67,1,,7,VEN,,9.866,,O,CALLEGUAS CREEK,9900,645,6.52,398,61.73,133,20.55,76,11.74,39,5.98,51,5,V
-119.08195058,34.112364837,68,1,,7,VEN,,9.866,,O,CALLEGUAS CREEK,9900,645,6.52,398,61.73,133,20.55,76,11.74,39,5.98,51,5,V
-119.142329885,34.1663296150001,69,1,,7,VEN,R,15.053,,B,"OXNARD, PLEASANT VALLEY ROAD/RICE AVENUE",11400,746,6.54,437,58.58,137,18.38,46,6.11,126,16.93,78,5,V
-119.14256487,34.166196599,70,1,,7,VEN,R,15.053,,B,"OXNARD, PLEASANT VALLEY ROAD/RICE AVENUE",11400,746,6.54,437,58.58,137,18.38,46,6.11,126,16.93,78,5,V
-119.180831484,34.239855533,71,1,,7,VEN,,21.075,,B,"OXNARD, JCT. RTE. 101, VENTURA FREEWAY",27000,740,2.74,552,74.58,79,10.66,20,2.68,89,12.08,60,6,E
-119.181068694,34.239906795,72,1,,7,VEN,,21.075,,B,"OXNARD, JCT. RTE. 101, VENTURA FREEWAY",27000,740,2.74,552,74.58,79,10.66,20,2.68,89,12.08,60,6,E
-119.334767185,34.2900985270001,73,1,,7,VEN,,21.25,,A,"OXNARD, JCT. RTE. 101, VENTURA FREEWAY",3900,347,8.91,200,57.75,35,10.12,32,9.29,79,22.84,42,7,V
-119.334891727,34.2899017920001,74,1,,7,VEN,,21.25,,A,"OXNARD, JCT. RTE. 101, VENTURA FREEWAY",3900,347,8.91,200,57.75,35,10.12,32,9.29,79,22.84,42,7,V
-119.416710007,34.3432758070001,75,1,,7,VEN,,27.675,,A,"SEACLIFF COLONY, JCT. RTE. 101, VENTURA FREEWAY",540,51,9.41,27,52.77,5,10.59,7,14.48,11,22.16,6,7,E
-119.416772556,34.343237548,76,1,,7,VEN,,27.675,,A,"SEACLIFF COLONY, JCT. RTE. 101, VENTURA FREEWAY",540,51,9.41,27,52.77,5,10.59,7,14.48,11,22.16,6,7,E
-119.42611262,34.350978953,77,1,,7,VEN,,28.48,,B,"LAS CRUCES, JCT. RTE. 101; MOBIL OIL PIER",540,70,13,34,48,6,8,20,28,11,16,8,17,E
-119.42611262,34.350978953,78,1,,7,VEN,,28.48,,B,"LAS CRUCES, JCT. RTE. 101; MOBIL OIL PIER",540,70,13,34,48,6,8,20,28,11,16,8,17,E
-120.225891723,34.509207196,79,1,,5,SB,R,0,,A,"LAS CRUCES, JCT. RTE. 101; MOBIL OIL PIER",7700,840,10.91,550,65.48,70,8.33,40,4.76,180,21.43,94,22,E
-120.225891723,34.509207196,80,1,,5,SB,R,0,,A,"LAS CRUCES, JCT. RTE. 101; MOBIL OIL PIER",7700,840,10.91,550,65.48,70,8.33,40,4.76,180,21.43,94,22,E
-120.435957794,34.6412477110001,81,1,,5,SB,,19.251,,B,"LOMPOC, SOUTH JCT. RTE. 246",7900,855,10.82,560,65.5,70,8.19,35,4.09,190,22.22,97,22,E
-120.435957794,34.6412477110001,82,1,,5,SB,,19.251,,B,"LOMPOC, SOUTH JCT. RTE. 246",7900,855,10.82,560,65.5,70,8.19,35,4.09,190,22.22,97,22,E
-120.435957794,34.6412477110001,83,1,,5,SB,,19.251,,A,"LOMPOC, SOUTH JCT. RTE. 246",12000,2760,23,1297,47,359,13,331,12,773,28,394,18,E
-120.435957794,34.6412477110001,84,1,,5,SB,,19.251,,A,"LOMPOC, SOUTH JCT. RTE. 246",12000,2760,23,1297,47,359,13,331,12,773,28,394,18,E
-120.457885673,34.638995268,85,1,,5,SB,,20.565,,B,"LOMPOC, NORTH JCT. RTE. 246",12000,1560,13,952,61,218,14,109,7,281,18,166,18,E
-120.457885673,34.638995268,86,1,,5,SB,,20.565,,B,"LOMPOC, NORTH JCT. RTE. 246",12000,1560,13,952,61,218,14,109,7,281,18,166,18,E
-120.457885673,34.638995268,87,1,,5,SB,,20.565,,A,"LOMPOC, NORTH JCT. RTE. 246",11600,1276,11,766,60,179,14,89,7,242,19,140,18,E
-120.457885673,34.638995268,88,1,,5,SB,,20.565,,A,"LOMPOC, NORTH JCT. RTE. 246",11600,1276,11,766,60,179,14,89,7,242,19,140,18,E
-120.457586283,34.6673031,89,1,,5,SB,,22.519,,B,"LOMPOC, SANTA YNEZ RIVER BRIDGE",26000,3120,12,1591,51,437,14,187,6,905,29,436,18,E
-120.45773768,34.667323487,90,1,,5,SB,,22.519,,B,"LOMPOC, SANTA YNEZ RIVER BRIDGE",26000,3120,12,1591,51,437,14,187,6,905,29,436,18,E
-120.455906647,34.6783530440001,91,1,,5,SB,R,23.296,,A,LOMPOC/CASMALIA ROAD,18800,1316,7,869,66,184,14,118,9,145,11,115,18,E
-120.455906647,34.6783530440001,92,1,,5,SB,R,23.296,,A,LOMPOC/CASMALIA ROAD,18800,1316,7,869,66,184,14,118,9,145,11,115,18,E
-120.520528981,34.750878766,93,1,,5,SB,M,29.891,,B,VANDENBERG AIR FORCE BASE,16200,1782,11,980,55,249,14,143,8,410,23,220,18,E
-120.520528981,34.750878766,94,1,,5,SB,M,29.891,,B,VANDENBERG AIR FORCE BASE,16200,1782,11,980,55,249,14,143,8,410,23,220,18,E
-120.520528981,34.750878766,95,1,,5,SB,M,29.891,,A,VANDENBERG AIR FORCE BASE,17000,1870,11,1010,54,262,14,150,8,449,24,236,18,E
-120.520528981,34.750878766,96,1,,5,SB,M,29.891,,A,VANDENBERG AIR FORCE BASE,17000,1870,11,1010,54,262,14,150,8,449,24,236,18,E
-120.442916927,34.80105796,97,1,,5,SB,M,36.189,,B,"JCT. RTE. 135, VANDENBURG, NORTH",16900,1859,11,882,47.44,279,15,149,8,550,29.56,268,18,E
-120.443547487,34.8011602770001,98,1,,5,SB,M,36.189,,B,"JCT. RTE. 135, VANDENBURG, NORTH",16900,1859,11,882,47.44,279,15,149,8,550,29.56,268,18,E
-120.452466791,34.854039303,99,1,,5,SB,R,34.777,,B,"ORCUTT, JCT. RTE. 135 NORTH",20500,2255,11,992,44,428,19,180,8,654,29,326,18,E
-120.453557669,34.8538267390001,100,1,,5,SB,R,34.777,,B,"ORCUTT, JCT. RTE. 135 NORTH",20500,2255,11,992,44,428,19,180,8,654,29,326,18,E
-120.452466791,34.854039303,101,1,,5,SB,R,34.777,,A,"ORCUTT, JCT. RTE. 135 NORTH",3500,1182,33.77,590,49.92,240,20.3,207,17.51,145,12.27,123,22,E
-120.453557669,34.8538267390001,102,1,,5,SB,R,34.777,,A,"ORCUTT, JCT. RTE. 135 NORTH",3500,1182,33.77,590,49.92,240,20.3,207,17.51,145,12.27,123,22,E
-120.497399323,34.8813601310001,103,1,,5,SB,,41.81,,A,CASMALIA ROAD,3300,363,11.01,220,60.56,41,11.27,43,11.78,59,16.39,38,18,V
-120.497399323,34.8813601310001,104,1,,5,SB,,41.81,,A,CASMALIA ROAD,3300,363,11.01,220,60.56,41,11.27,43,11.78,59,16.39,38,18,V
